u[152,125]: 22777.000000, v[152,125]: 22777.000000, p[152,125]: 22777.000000
u[153,125]: 22778.000000, v[153,125]: 22778.000000, p[153,125]: 22778.000000
u[154,125]: 22779.000000, v[154,125]: 22779.000000, p[154,125]: 22779.000000
u[155,125]: 22780.000000, v[155,125]: 22780.000000, p[155,125]: 22780.000000
u[156,125]: 22781.000000, v[156,125]: 22781.000000, p[156,125]: 22781.000000
u[157,125]: 22782.000000, v[157,125]: 22782.000000, p[157,125]: 22782.000000
u[158,125]: 22783.000000, v[158,125]: 22783.000000, p[158,125]: 22783.000000
u[159,125]: 22784.000000, v[159,125]: 22784.000000, p[159,125]: 22784.000000
u[80,34]: 6234.000000, v[80,34]: 6234.000000, p[80,34]: 6234.000000
u[81,34]: 6235.000000, v[81,34]: 6235.000000, p[81,34]: 6235.000000
u[82,34]: 6236.000000, v[82,34]: 6236.000000, p[82,34]: 6236.000000
u[83,34]: 6237.000000, v[83,34]: 6237.000000, p[83,34]: 6237.000000
u[84,34]: 6238.000000, v[84,34]: 6238.000000, p[84,34]: 6238.000000
u[85,34]: 6239.000000, v[85,34]: 6239.000000, p[85,34]: 6239.000000
u[86,34]: 6240.000000, v[86,34]: 6240.000000, p[86,34]: 6240.000000
u[87,34]: 6241.000000, v[87,34]: 6241.000000, p[87,34]: 6241.000000
u[88,34]: 6242.000000, v[88,34]: 6242.000000, p[88,34]: 6242.000000
u[89,34]: 6243.000000, v[89,34]: 6243.000000, p[89,34]: 6243.000000
u[90,34]: 6244.000000, v[90,34]: 6244.000000, p[90,34]: 6244.000000
u[91,34]: 6245.000000, v[91,34]: 6245.000000, p[91,34]: 6245.000000
u[92,34]: 6246.000000, v[92,34]: 6246.000000, p[92,34]: 6246.000000
u[93,34]: 6247.000000, v[93,34]: 6247.000000, p[93,34]: 6247.000000
u[94,34]: 6248.000000, v[94,34]: 6248.000000, p[94,34]: 6248.000000
u[95,34]: 6249.000000, v[95,34]: 6249.000000, p[95,34]: 6249.000000
u[80,35]: 6415.000000, v[80,35]: 6415.000000, p[80,35]: 6415.000000
u[81,35]: 6416.000000, v[81,35]: 6416.000000, p[81,35]: 6416.000000
u[82,35]: 6417.000000, v[82,35]: 6417.000000, p[82,35]: 6417.000000
u[83,35]: 6418.000000, v[83,35]: 6418.000000, p[83,35]: 6418.000000
u[84,35]: 6419.000000, v[84,35]: 6419.000000, p[84,35]: 6419.000000
u[85,35]: 6420.000000, v[85,35]: 6420.000000, p[85,35]: 6420.000000
u[86,35]: 6421.000000, v[86,35]: 6421.000000, p[86,35]: 6421.000000
u[87,35]: 6422.000000, v[87,35]: 6422.000000, p[87,35]: 6422.000000
u[88,35]: 6423.000000, v[88,35]: 6423.000000, p[88,35]: 6423.000000
u[89,35]: 6424.000000, v[89,35]: 6424.000000, p[89,35]: 6424.000000
u[90,35]: 6425.000000, v[90,35]: 6425.000000, p[90,35]: 6425.000000
u[91,35]: 6426.000000, v[91,35]: 6426.000000, p[91,35]: 6426.000000
u[92,35]: 6427.000000, v[92,35]: 6427.000000, p[92,35]: 6427.000000
u[93,35]: 6428.000000, v[93,35]: 6428.000000, p[93,35]: 6428.000000
u[94,35]: 6429.000000, v[94,35]: 6429.000000, p[94,35]: 6429.000000
u[95,35]: 6430.000000, v[95,35]: 6430.000000, p[95,35]: 6430.000000
u[80,42]: 7682.000000, v[80,42]: 7682.000000, p[80,42]: 7682.000000
u[81,42]: 7683.000000, v[81,42]: 7683.000000, p[81,42]: 7683.000000
u[82,42]: 7684.000000, v[82,42]: 7684.000000, p[82,42]: 7684.000000
u[83,42]: 7685.000000, v[83,42]: 7685.000000, p[83,42]: 7685.000000
u[84,42]: 7686.000000, v[84,42]: 7686.000000, p[84,42]: 7686.000000
u[85,42]: 7687.000000, v[85,42]: 7687.000000, p[85,42]: 7687.000000
u[86,42]: 7688.000000, v[86,42]: 7688.000000, p[86,42]: 7688.000000
u[87,42]: 7689.000000, v[87,42]: 7689.000000, p[87,42]: 7689.000000
u[88,42]: 7690.000000, v[88,42]: 7690.000000, p[88,42]: 7690.000000
u[89,42]: 7691.000000, v[89,42]: 7691.000000, p[89,42]: 7691.000000
u[90,42]: 7692.000000, v[90,42]: 7692.000000, p[90,42]: 7692.000000
u[91,42]: 7693.000000, v[91,42]: 7693.000000, p[91,42]: 7693.000000
u[92,42]: 7694.000000, v[92,42]: 7694.000000, p[92,42]: 7694.000000
